id,referee,timezone,date,venue_id,venue_name,venue_city,season,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,has_winner
120286,"Fernando Hernandez, Mexico",UTC,2019-04-07T03:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Clausura - 13,Club Tijuana,Club America,True,False,3,2,1,2,3,2,1
120289,"Diego Montano, Mexico",UTC,2019-04-13T02:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Clausura - 14,Puebla,Leon,False,True,0,3,0,2,0,3,0
120290,"Oscar Mejia Garcia, Mexico",UTC,2019-04-13T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Clausura - 14,Atlas,Necaxa,False,True,1,2,0,1,1,2,0
120291,"Fernando Guerrero Ramirez, Mexico",UTC,2019-04-13T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Clausura - 14,Club Queretaro,Toluca,,,0,0,0,0,0,0,1
120295,"Adonai Escobedo Gonzalez, Mexico",UTC,2019-04-14T21:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Clausura - 14,Lobos Buap,Tigres UANL,False,True,0,3,0,0,0,3,0
120299,"Eduardo Galvan Basulto, Mexico",UTC,2019-04-20T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Clausura - 15,Club Tijuana,Lobos Buap,False,True,1,2,1,1,1,2,0
120307,"Francisco Chacon Gutierrez, Mexico",UTC,2019-04-27T00:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Clausura - 16,Puebla,Tigres UANL,,,1,1,0,1,1,1,1
120314,"Fernando Hernandez, Mexico",UTC,2019-04-28T21:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Clausura - 16,Lobos Buap,Cruz Azul,False,True,1,4,1,2,1,4,0
120315,"Jose Penaloza, Mexico",UTC,2019-04-28T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Clausura - 16,Club Queretaro,Veracruz,True,False,2,1,1,0,2,1,1
120321,"Jorge Isaac Rojas Castillo, Mexico",UTC,2019-05-05T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Clausura - 17,Club Tijuana,Puebla,True,False,4,0,0,0,4,0,1
120323,"Francisco Chacon Gutierrez, Mexico",UTC,2019-05-05T21:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Clausura - 17,Atlas,Monterrey,True,False,2,0,1,0,2,0,1
120326,"Fernando Hernandez, Mexico",UTC,2018-07-21T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 1,Atlas,Club Queretaro,,,0,0,0,0,0,0,1
120330,"Jorge Antonio Perez Duran, Mexico",UTC,2018-07-22T02:00:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 1,Club Tijuana,Guadalajara Chivas,True,False,2,1,0,0,2,1,1
120335,"Jorge Antonio Perez Duran, Mexico",UTC,2018-07-28T02:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 2,Puebla,Toluca,True,False,2,1,2,1,2,1,1
120336,"Luis Santander, Mexico",UTC,2018-07-28T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 2,Club Queretaro,Pachuca,True,False,1,0,0,0,1,0,1
120340,"Roberto Garcia Orozco, Mexico",UTC,2018-07-29T21:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 2,Lobos Buap,Veracruz,True,False,2,0,1,0,2,0,1
120344,"Jorge Antonio Perez Duran, Mexico",UTC,2018-08-04T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 3,Atlas,U.N.A.M. - Pumas,False,True,0,3,0,2,0,3,0
120351,"Oscar Macias, Mexico",UTC,2018-08-06T01:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 3,Club Tijuana,Leon,,,1,1,0,0,1,1,1
120352,"Erick Yair Miranda Galindo, Mexico",UTC,2018-08-11T00:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 4,Puebla,Veracruz,False,True,1,2,0,0,1,2,0
120354,"Oscar Macias, Mexico",UTC,2018-08-11T22:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 4,Lobos Buap,Atlas,,,0,0,0,0,0,0,1
120360,"Luis Santander, Mexico",UTC,2018-08-13T01:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 4,Club Tijuana,Cruz Azul,,,1,1,0,0,1,1,1
120362,"Marco Antonio Ortiz Nava, Mexico",UTC,2018-08-18T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 5,Atlas,Monarcas,False,True,0,1,0,1,0,1,0
120366,"Jorge Isaac Rojas Castillo, Mexico",UTC,2018-08-19T02:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 5,Club Queretaro,Club America,,,1,1,0,1,1,1,1
120372,"Eduardo Galvan Basulto, Mexico",UTC,2018-08-22T02:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 6,Puebla,Atlas,True,False,2,0,1,0,2,0,1
120377,"Jorge Isaac Rojas Castillo, Mexico",UTC,2018-08-23T02:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 6,Lobos Buap,Monterrey,False,True,1,2,0,1,1,2,0
120378,"Oscar Mejia Garcia, Mexico",UTC,2018-08-23T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 6,Club Tijuana,Santos Laguna,,,2,2,0,0,2,2,1
120379,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2018-08-25T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 7,Atlas,Guadalajara Chivas,False,True,0,1,0,0,0,1,0
120385,"Luis Santander, Mexico",UTC,2018-08-26T17:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 7,Club Queretaro,Lobos Buap,True,False,2,0,1,0,2,0,1
120389,"Fernando Guerrero Ramirez, Mexico",UTC,2018-09-01T02:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 8,Puebla,Monterrey,True,False,2,1,0,1,2,1,1
120390,"Luis Santander, Mexico",UTC,2018-09-01T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 8,Club Tijuana,Necaxa,True,False,1,0,0,0,1,0,1
120396,"Oscar Macias, Mexico",UTC,2018-09-02T21:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 8,Lobos Buap,Club America,False,True,0,2,0,1,0,2,0
120398,"Diego Montano, Mexico",UTC,2018-09-15T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 9,Club Queretaro,Puebla,False,True,0,1,0,0,0,1,0
120405,"Fernando Hernandez, Mexico",UTC,2018-09-16T23:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 9,Atlas,Club Tijuana,False,True,0,1,0,0,0,1,0
120407,"Luis Santander, Mexico",UTC,2018-09-22T02:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 10,Puebla,Club America,False,True,2,3,1,2,2,3,0
120411,"Oscar Macias, Mexico",UTC,2018-09-23T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 10,Club Tijuana,Pachuca,True,False,1,0,0,0,1,0,1
120416,"Adonai Escobedo Gonzalez, Mexico",UTC,2018-09-29T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 11,Atlas,Toluca,True,False,2,0,1,0,2,0,1
120417,"Jorge Isaac Rojas Castillo, Mexico",UTC,2018-09-29T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 11,Club Queretaro,Tigres UANL,False,True,0,2,0,0,0,2,0
120422,"Roberto Rios Jacome, Mexico",UTC,2018-09-30T21:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 11,Lobos Buap,Monarcas,True,False,3,1,1,0,3,1,1
120430,"Roberto Garcia Orozco, Mexico",UTC,2018-10-07T02:36:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 12,Club Tijuana,Club Queretaro,,,1,1,1,0,1,1,1
120432,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2018-10-07T23:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 12,Puebla,Lobos Buap,,,2,2,0,1,2,2,1
120433,"Adonai Escobedo Gonzalez, Mexico",UTC,2018-10-20T02:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 13,Atlas,Veracruz,True,False,4,3,2,2,4,3,1
120434,"Francisco Chacon Gutierrez, Mexico",UTC,2018-10-20T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 13,Club Queretaro,Cruz Azul,True,False,2,0,0,0,2,0,1
120439,"Jorge Antonio Perez Duran, Mexico",UTC,2018-10-21T17:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 13,Lobos Buap,Guadalajara Chivas,,,1,1,1,0,1,1,1
120448,"Adonai Escobedo Gonzalez, Mexico",UTC,2018-10-28T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 14,Club Tijuana,U.N.A.M. - Pumas,False,True,0,1,0,0,0,1,0
120452,"Diego Montano, Mexico",UTC,2018-11-03T03:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 15,Puebla,Guadalajara Chivas,,,2,2,0,2,2,2,1
120456,"Luis Santander, Mexico",UTC,2018-11-04T03:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 15,Lobos Buap,Club Tijuana,True,False,3,1,1,0,3,1,1
120458,"Fernando Guerrero Ramirez, Mexico",UTC,2018-11-04T22:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 15,Club Queretaro,Santos Laguna,True,False,2,1,1,0,2,1,1
120459,"Francisco Chacon Gutierrez, Mexico",UTC,2018-11-05T00:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 15,Atlas,Leon,,,0,0,0,0,0,0,1
120461,"Diego Montano, Mexico",UTC,2018-11-10T03:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2018,Apertura - 16,Atlas,Pachuca,,,0,0,0,0,0,0,1
120466,"Jorge Isaac Rojas Castillo, Mexico",UTC,2018-11-11T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2018,Apertura - 16,Club Tijuana,Monarcas,False,True,2,3,0,1,2,3,0
120470,"Oscar Macias, Mexico",UTC,2018-11-24T03:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2018,Apertura - 17,Puebla,Club Tijuana,,,0,0,0,0,0,0,1
120471,"Jorge Isaac Rojas Castillo, Mexico",UTC,2018-11-24T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Apertura - 17,Club Queretaro,Necaxa,True,False,1,0,1,0,1,0,1
120477,"Francisco Chacon Gutierrez, Mexico",UTC,2018-11-25T22:00:00+00:00,1078,Estadio Universitario BUAP,Puebla,2018,Apertura - 17,Lobos Buap,Toluca,True,False,2,0,1,0,2,0,1
125285,"Luis Santander, Mexico",UTC,2019-05-09T02:06:00+00:00,1088,Estadio Caliente,Tijuana,2018,Clausura - Quarter-finals,Club Tijuana,Leon,False,True,1,3,0,1,1,3,0
127805,"Jorge Antonio Perez Duran, Mexico",UTC,2019-05-17T01:30:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2018,Clausura - Semi-finals,Club America,Leon,False,True,0,1,0,0,0,1,0
143584,"Jorge Antonio Perez Duran, Mexico",UTC,2017-05-22T01:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - Semi-finals,Club Tijuana,Tigres UANL,False,True,0,2,0,0,0,2,0
143590,"Oscar Macias, Mexico",UTC,2017-05-15T01:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - Quarter-finals,Club Tijuana,Monarcas,True,False,2,0,1,0,2,0,1
143591,"Jorge Antonio Perez Duran, Mexico",UTC,2017-05-12T02:30:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - Quarter-finals,Atlas,Guadalajara Chivas,True,False,1,0,1,0,1,0,1
143600,"Luis Santander, Mexico",UTC,2016-11-27T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Apertura - Quarter-finals,Club Tijuana,Leon,True,False,3,2,3,0,3,2,1
143614,"Adalid Maganda Villalva, Mexico",UTC,2017-01-09T00:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 1,Puebla,Monterrey,False,True,2,3,2,1,2,3,0
143615,"Diego Montano, Mexico",UTC,2017-02-08T02:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 1,Jaguares de Chiapas,Club America,True,False,2,0,0,0,2,0,1
143616,"Jorge Antonio Perez Duran, Mexico",UTC,2017-01-14T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 2,Club Tijuana,Puebla,True,False,6,2,2,1,6,2,1
143617,"Miguel Angel Flores Rodriguez, Mexico",UTC,2017-01-14T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 2,Club Queretaro,Monarcas,,,0,0,0,0,0,0,1
143618,"Diego Montano, Mexico",UTC,2017-01-15T01:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 2,Atlas,Tigres UANL,True,False,2,0,1,0,2,0,1
143633,"Paul Enrique Delgadillo Haro, Mexico",UTC,2017-01-23T00:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 3,Puebla,Club Queretaro,,,0,0,0,0,0,0,1
143634,"Paul Enrique Delgadillo Haro, Mexico",UTC,2017-01-28T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 4,Club Tijuana,Cruz Azul,True,False,1,0,0,0,1,0,1
143635,"Diego Montano, Mexico",UTC,2017-01-28T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 4,Club Queretaro,Guadalajara Chivas,False,True,0,1,0,1,0,1,0
143636,"Luis Santander, Mexico",UTC,2017-01-29T01:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 4,Atlas,Monarcas,True,False,3,1,1,1,3,1,1
143641,"Marco Antonio Ortiz Nava, Mexico",UTC,2017-01-29T23:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 4,Jaguares de Chiapas,Tigres UANL,True,False,1,0,1,0,1,0,1
143643,"Jose Penaloza, Mexico",UTC,2017-02-04T01:30:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 5,Puebla,Atlas,,,1,1,0,0,1,1,1
143652,"Jorge Isaac Rojas Castillo, Mexico",UTC,2017-02-11T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 6,Club Tijuana,Necaxa,False,True,1,2,0,0,1,2,0
143653,"Jonathan Hernandez Juarez, Mexico",UTC,2017-02-11T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 6,Club Queretaro,Leon,True,False,2,1,1,1,2,1,1
143654,"Cesar Arturo Ramos Palazuelos, Mexico",UTC,2017-02-12T01:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 6,Atlas,Guadalajara Chivas,False,True,1,2,0,2,1,2,0
143659,"Oscar Macias, Mexico",UTC,2017-02-12T23:00:00+00:00,1965,Estadio Victor Manuel Reyna,Tuxtla Gutierrez,2016,Clausura - 6,Jaguares de Chiapas,Monarcas,False,True,1,2,1,2,1,2,0
143669,"Fernando Hernandez, Mexico",UTC,2017-02-19T22:00:00+00:00,1082,Estadio Cuauhtemoc,Puebla,2016,Clausura - 7,Puebla,Jaguares de Chiapas,True,False,3,0,1,0,3,0,1
143670,"Jorge Antonio Perez Duran, Mexico",UTC,2017-02-25T03:00:00+00:00,1088,Estadio Caliente,Tijuana,2016,Clausura - 8,Club Tijuana,Monterrey,True,False,2,0,1,0,2,0,1
143671,"Eduardo Galvan Basulto, Mexico",UTC,2017-02-25T23:00:00+00:00,1084,Estadio La Corregidora,Santiago de Queretaro,2016,Clausura - 8,Club Queretaro,U.N.A.M. - Pumas,True,False,4,3,2,1,4,3,1
143673,"Fernando Hernandez, Mexico",UTC,2017-02-26T01:00:00+00:00,1071,Estadio Jalisco,Guadalajara,2016,Clausura - 8,Atlas,Leon,True,False,2,0,0,0,2,0,1
